le lieutenant général Thaddeus « Thunderbolt » Ross,Tony Stark / Iron Man (non crédité)
Elizabeth « Betty » Ross,le capitaine Emil Blonsky / l'Abomination
Elizabeth « Betty » Ross,Samuel Sterns
Elizabeth « Betty » Ross,Leonard « Doc » Samson
Elizabeth « Betty » Ross,la major Kathleen « Kat » Sparr
Elizabeth « Betty » Ross,le général Joe Greller
Elizabeth « Betty » Ross,Stanley
Elizabeth « Betty » Ross,Martina
Elizabeth « Betty » Ross,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Elizabeth « Betty » Ross,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Elizabeth « Betty » Ross,le professeur de sport de Banner (caméo)
Elizabeth « Betty » Ross,un soldat
Elizabeth « Betty » Ross,Tony Stark / Iron Man (non crédité)
le capitaine Emil Blonsky / l'Abomination,Samuel Sterns
le capitaine Emil Blonsky / l'Abomination,Leonard « Doc » Samson
le capitaine Emil Blonsky / l'Abomination,la major Kathleen « Kat » Sparr
le capitaine Emil Blonsky / l'Abomination,le général Joe Greller
le capitaine Emil Blonsky / l'Abomination,Stanley
le capitaine Emil Blonsky / l'Abomination,Martina
le capitaine Emil Blonsky / l'Abomination,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
le capitaine Emil Blonsky / l'Abomination,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
le capitaine Emil Blonsky / l'Abomination,le professeur de sport de Banner (caméo)
le capitaine Emil Blonsky / l'Abomination,un soldat
le capitaine Emil Blonsky / l'Abomination,Tony Stark / Iron Man (non crédité)
Samuel Sterns,Leonard « Doc » Samson
Samuel Sterns,la major Kathleen « Kat » Sparr
Samuel Sterns,le général Joe Greller
Samuel Sterns,Stanley
Samuel Sterns,Martina
Samuel Sterns,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Samuel Sterns,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Samuel Sterns,le professeur de sport de Banner (caméo)
Samuel Sterns,un soldat
Samuel Sterns,Tony Stark / Iron Man (non crédité)
Leonard « Doc » Samson,la major Kathleen « Kat » Sparr
Leonard « Doc » Samson,le général Joe Greller
Leonard « Doc » Samson,Stanley
Leonard « Doc » Samson,Martina
Leonard « Doc » Samson,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Leonard « Doc » Samson,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Leonard « Doc » Samson,le professeur de sport de Banner (caméo)
Leonard « Doc » Samson,un soldat
Leonard « Doc » Samson,Tony Stark / Iron Man (non crédité)
la major Kathleen « Kat » Sparr,le général Joe Greller
la major Kathleen « Kat » Sparr,Stanley
la major Kathleen « Kat » Sparr,Martina
la major Kathleen « Kat » Sparr,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
la major Kathleen « Kat » Sparr,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
la major Kathleen « Kat » Sparr,le professeur de sport de Banner (caméo)
la major Kathleen « Kat » Sparr,un soldat
la major Kathleen « Kat » Sparr,Tony Stark / Iron Man (non crédité)
le général Joe Greller,Stanley
le général Joe Greller,Martina
le général Joe Greller,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
le général Joe Greller,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
le général Joe Greller,le professeur de sport de Banner (caméo)
le général Joe Greller,un soldat
le général Joe Greller,Tony Stark / Iron Man (non crédité)
Stanley,Martina
Stanley,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Stanley,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Stanley,le professeur de sport de Banner (caméo)
Stanley,un soldat
Stanley,Tony Stark / Iron Man (non crédité)
Martina,Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo)
Martina,l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Martina,le professeur de sport de Banner (caméo)
Martina,un soldat
Martina,Tony Stark / Iron Man (non crédité)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),le professeur de sport de Banner (caméo)
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),un soldat
Hulk (voix en VO) / l'agent de sécurité de l'université où travaille Betty (caméo),Tony Stark / Iron Man (non crédité)
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),le professeur de sport de Banner (caméo)
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),un soldat
l'homme âgé qui boit le soda contaminé par le sang de Bruce Banner (caméo),Tony Stark / Iron Man (non crédité)
le professeur de sport de Banner (caméo),un soldat
le professeur de sport de Banner (caméo),Tony Stark / Iron Man (non crédité)
un soldat,Tony Stark / Iron Man (non crédité)
Pepper Potts[5],Ivan Vanko / Whiplash
Pepper Potts[5],le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5]
Pepper Potts[5],Natalie Rushman / Natasha Romanoff / Black Widow
Pepper Potts[5],Justin Hammer[5]
Pepper Potts[5],"Nick Fury, directeur du SHIELD[6]"
Pepper Potts[5],"Phil Coulson, agent du SHIELD"
Pepper Potts[5],Howard Stark[7]
Pepper Potts[5],Happy Hogan
Pepper Potts[5],J.A.R.V.I.S (voix)
Pepper Potts[5],un US Marshal
Pepper Potts[5],Christine Everhart
Pepper Potts[5],le sénateur Stern
Pepper Potts[5],Christiane Amanpour
Pepper Potts[5],l'inspecteur Lemieux
Pepper Potts[5],le major Allen
Pepper Potts[5],Larry Ellison
Pepper Potts[5],DJ AM
Pepper Potts[5],le général Meade
Pepper Potts[5],Anton Vanko
Pepper Potts[5],un journaliste confondu avec Larry King (caméo)
Pepper Potts[5],Rebecca
Pepper Potts[5],Rebeka
Pepper Potts[5],Bambi Arbogast
Pepper Potts[5],Chess Roberts
Pepper Potts[5],Elon Musk
Pepper Potts[5],Tony Stark jeune
Pepper Potts[5],Jack
Pepper Potts[5],Peter Parker (petit garçon avec le masque d'Iron-Man)
Pepper Potts[5],Dubbing Brothers[8]
Pepper Potts[5],Michel Derain
Pepper Potts[5],Philippe Videcoq
Ivan Vanko / Whiplash,le lieutenant-colonel James « Rhodey » Rhodes / War Machine[5]
Ivan Vanko / Whiplash,Natalie Rushman / Natasha Romanoff / Black Widow
Ivan Vanko / Whiplash,Justin Hammer[5]
Ivan Vanko / Whiplash,"Nick Fury, directeur du SHIELD[6]"
Ivan Vanko / Whiplash,"Phil Coulson, agent du SHIELD"
